"reference","base_summary","finetuned_summary","original_text"
"Amazing product","This bar is amazing. I have many different food allergies, so finding pre-made snack bars that can cater to all of my needs is extremely difficult.","The best chocolate protein bar I've ever had!","For starters, Amazon's ingredients list is wrong about this bar in particular. The chocolate protein bar is completely nut free, so the other two reviewers are incorrect. It's made from sunflower seed butter, brown rice flour, brown rice syrup, chocolate liqueur and coconut sugar. Secondly, it's dairy, gluten, and soy free as well, so of course it'll have a more bitter taste. It resembles dark chocolate more closely; a similar taste to a chocolate powerbar. This bar is amazing. I have many different food allergies, so finding pre-made snack bars that can cater to all of my needs is extremely difficult. The chocolate protein bar fits all of them, and provides me with an easy to grab snack that'll help me get through the day without a nasty sugar crash."
"great taste! great texture! great gum!","I'm not sure what the other reviewers have problems with for this gum.br /> Our whole family has been chewing this","Great gum!","I don't know what the other reviewers have problems with for this gum.<br />Our whole family has been chewing this gum for the last few months and we think it's great in every way!<br />what's even better is that there is no sugar and no artificial dyes!<br />Try finding something like that at your local retail shop!<br /><br />Our only regret is that amazon is no longer carrying it, so now we'll have to pay more for it from other online retailers :("
"Delicious pumpkin Pie spice","The aroma is rich and very tastey. I have friends from India who recommended the flavor of Chai, so I tried it out. My very favorite","My favorite tea!","I have not idea why this person would not like the pumpkin pie spice? What does this guy do during Thanksgiving?? The aroma is rich and very tastey. I have friends from India who recommended the flavor of Chai, so I tried it out. My very favorite tea! Why drink anything that is bitter when you can have sweet delicious Chai?"
"Ok, but not my favorite coffee","Not something I would buy again","Not my choice for a good brew","I had previously purchased the Coffee Bean Direct decaf espresso beans, and LOVED those, but thought I would try the Colombian decaf.  This coffee has an almost sour taste to it which I don't like, but if I mix it with other coffee beans, it is drinkable.  Not something I would buy again.  I will buy the DECAF ESPRESSO next time.  I'm certain nothing is wrong with this coffee--it is just a matter of personal taste.  It isn't my choice for a good brew."
"This is NOT smoked salt!","Faerie's Finest is the worst smoked salt I have tasted.","Faerie's Finest is the worst smoked salt I have tasted","This salt is NOT smoked. Read that again. It is a 2 pound bag of white salt that has a fake hickory smell. It is small crystals, about the size of table salt crystals. My guess is that they tried to infuse flavor into the salt rather than smoking it. The hickory flavor is very faint, and very fake tasting. You are much better off buying real smoked salt, such as Gourmet Hickory Smoked Sea Salt by The Spice Lab Inc. I am not in any way affiliated with The Spice Lab - I bought their salt simultaneously with Faerie's Finest in order to compare the two. Not only is it inferior to The Spice Lab, but Faerie's Finest is the worst smoked salt I have tasted."
"getting tired of toys not lasting when promised...","This toy is a waste of time and money. My aussie has nawed about 15% of the tips off within an hour or","Not a good toy for my dog","It would be nice if someone could make a toy out of some material that would actually LAST!  This one sure doesn't.  My TOY australian shepherd has nawed about 15% of the tips off within an hour or so.  She's not even 12 lb's and is getting through it.  She does go through any toy so far pretty quickly.<br />I'm better off just giving frozen carrots and maybe buying some rawhides soon, but i don't think rawhides are very healthy and wanted to stay away from them.<br />I have two other small dogs who don't seem to chew toys to bad, but its hard to tell because the aussie is always around and is more than likely the culprit.  The only reason i give it 2 stars is that at least the dogs all like it.<br /><br />to review:  $10 toy that could possibly last my dog at least 10 hours and then she'll poop it out and possibly get harmed that way. Or $1 bag of carrots that are healthy and freeze them so they chew a little longer.  hmmmmmmm."
"Cant they just make them with regular flour, sugar and fruit?","How much crap can they cram into these...","Cellulose Gel, Fructose, Glycerol, Dextrose, Maltodextrin?","How much crap can they cram into these...<br />Cellulose Gel?<br />Fructose?<br />Glycerol?<br />Dextrose?<br />Maltodextrin?<br />oh....and less than 2% of apple powder?<br /><br />ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), SUGAR, FRUCTOSE, GLYCEROL, VEGETABLE OIL (SOYBEAN, PALM, AND PALM KERNEL OIL WITH TBHQ FOR FRESHNESS), DEXTROSE, MALTODEXTRIN, CONTAINS TWO PERCENT OR LESS OF MODIFIED CORN STARCH, NONFAT DRY MILK, APPLE POWDER, STRAWBERRY PUREE CONCENTRATE, REDUCED MINERAL WHEY, INVERT SUGAR, CORNSTARCH, SOY LECITHIN, LEAVENING (BAKING SODA, MONOCALCIUM PHOSPHATE, SODIUM ACID PYROPHOSPHATE), SALT, DATEM , CELLULOSE GEL, NATURAL AND ARTIFICIAL FLAVOR, CITRIC ACID, MONO- AND DIGLYCERIDES, CELLULOSE GUM, SODIUM CITRATE, MALIC ACID, COLOR ADDED, SODIUM ALGINATE, CARAMEL COLOR, XANTHAN GUM, TRICALCIUM PHOSPHATE, RED #40, VANILLA EXTRACT, BHT FOR FRESHNESS."
"Real Green Tea","Great tea!","Excellent green tea!","This tea was recommended to us by some friends from Japan.  They told us that the green tea that is sold in most grocery stores is not authentic green tea.  Following their recommendation, we purchased this tea and have been very satisfied.  It not only has the true green color, it is also very mild with a slightly sweet taste.  Delicious!"
"Fun for our daughter","We sent our oldest to school with these for her friends to celebrate the birth of our little boy. It really made her feel important at school, and helped","Our oldest loved it!","When our third child, and first son was born, we sent our oldest to school (Kindergarten) with these for her friends to celebrate. It really made her feel important at school, and helped her celebrate the birth of our little boy. She loved doing it, and her friends enjoyed them too. BTW- teachers, we did clear it with the teachers at school first, so no hate mail please!"
"Good & Healthy","Popchips are a healthy, delicious snack food.","Healthy, Delicious Chips","It is always a challenge to find healthy, delicious food.  While Popchips is a snack food, most all of us still enjoy chips.  That being the case, I have not found any better chip in my years of search that has such good taste and health considerations.  I offer them to people who eat the heavy saturated chips, and they love the Popchips."
"This is a lie!","This ad is a lie! This order came today and the steaks are not any bigger than two store bought pork chops! $72","This ad is a lie!","This ad is a lie! This order came today and the steaks are not any bigger than two store bought pork chops. There is no way these steaks weigh anywhere close to 30 ounces, much less a total of 60 ounces as the ad states! $72 for not even a pound of steak! RIP OFF!"
"Pretty plant","I ordered 2 of these plants. They arrived 4 days after I placed the order, which is the fastest I've ever received anything (that was with","Fastest I've ever received anything (that was with standard shipping as well)","I ordered 2 of these.  They arrived 4 days after I placed the order, which is the fastest I've ever received anything (that was with standard shipping as well).  I should have paid more attention to the pot the seller was sending them in.  It's nothing more than a flimsy container.  I will be going to the store to buy new pots for them today.  The plants arrived in great condition, they look awesome.  I would totally order this item again."
"Good for Muscle Recovery, NOT Sugar free.","I've been eating Cliff Protein bar for body building, although it's 95% organic but it has too much sugar. ThinkThin protein bars","Protein bars for muscle recovery","Some of the reviewers eat these for weight control purpose, which I don't think that's what these bars are for. 20g protein bars like these are designed for muscle recovery after weight lifting workout. ThinkThin protein bars use whey protein isloate; which is the best protein for muscle recovery. I've been eating Cliff Protein bar for body building, although it's 95% organic but it has too much sugar. ThinkThin protein bars provide same amount of protein as the Cliff Bar with less sugar.<br /><br />These bars use sugar alcohol, instead of conventional sugar. Sugar alcohol is a sweetener commonly found in ""Sugar Free"" gums. It has less calories and doesn't cause tooth decay as conventional sugar does. Nonetheless, it's a sugar. I hope ThinkThin would start making these with organic ingredients.<br /><br />For those who are interesting in snack bars (instead of protein bars) for weight control, <a href=""http://www.amazon.com/gp/product/B000P504ZG"">Pure Bar Organic Wild Blueberry, Raw Fruit & Nut Bar, 1.7-Ounce Bars (Pack of 12)</a> are awesome."
"Okra never tasted so bad!","I ate my first Talk O' Texas pickled okra 20 years ago, it didn't take long to get hooked.br","Salty and overpowering okra pickles","These things taste like sulfur. Don't they eat their own product fer cryin out loud?<br /><br />I ate my first Talk O' Texas pickled okra 20 years ago, it didn't take long to get hooked.<br />But I don't remember them being this salty. The okra is nice and fresh and crisp, but the<br />""natural flavors and spices"" have been overdone. I've made my own okra pickles with only<br />3 ingredients and they are 10 times better than these things. And don't mind the ""hot"", you<br />wont be able to eat enough of these things to detect any heat. The salt, garlic and other<br />spices just flat overpower.<br /><br />Thanks for the memories Talk O', thats the only reason you got 3 stars."
"Absolutely excellent","I'm a sucker for a healthy treat!","Great deal for a healthy treat","I got these as a treat for my kids on Halloween (as we don't really celebrate it here in Mexico) and have become addicted.  :)  I got a great deal on it (1/2 price?) and liked them so much I'm willing to pay full price for another 5-lb bag.  Who cares about the ratio of flavors - I'm just glad to have a healthy alternative for my kids.  Ordering another 5-pound bag to get muled down here (and isn't ironic that I can't get it here in Mexico even though it is made here???)"
"A big disappointment","I am a tea snob. However, one thing I have learned is that price and quality don't always go hand in hand","Too weak, too strong, too weak","Admittedly, I am a tea snob. However, one thing I have learned is that price and quality don't always go hand in hand.  (My favorite earl grey costs $1.97 a box at Target;  I pay $25 for a small tin of my favorite fruit flavored tea at Dean and Deluca's.)  I was very excited to try Barry's Tea after I heard about it from a friend who heard about this tea while traveling in Ireland.  I was even more excited to find that it was fairly inexpensive.<br /><br />Unfortunately, for my taste, Barry's is a huge disappointment.  No matter how little or how long I brew it, the flavor never tastes ""just right.""  I find it's either too weak or too strong and needs a good amount of sweetener and milk to make it somewhat enjoyable.  I also discovered after several tests that one teabag will taste differently than another.  (Something I have NEVER found in any other brand of tea I've brewed.)<br /><br />If you are looking for an excellent plain black tea, I would suggest Yorkshire Gold (found at World Market and some speciality tea shops that sell products from England) or Tazo's ""Awake.""  In fact, I even like good old Red Rose if I'm in a pinch."
"Good -- Not perfect","Good, but a little too sweet for me","Good, but a little too sweet","These taste like regular rice krispies but sweeter, they are good, but actually a little too sweet for me (which I thought was impossible). There is no visible frosting on the cereal, it looks like a normal rice krispie but when you eat it, it's much much sweeter. The taste is great. The frosting taste is like Frosted Flakes. I also don't like how the cereal gets soggy so quickly in milk. Also, don't buy this expecting it to taste like Rice krispie treats cereal."
"Not very thick","I think this honey is mostly hype. I find rata honey to have superior taste and consistency. I like fireweed honey more as well for my less","Very similar to regular clover honey","This honey is very similar to regular clover honey. I thought it would be thick like rata honey. It is not, it is translucent. Taste is similar to clover honey as well, just a slight tinge of something different. I believe this honey is mostly hype. I find rata honey to have superior taste and consistency. I like fireweed honey more as well for my less viscous honey indulgences."
"It does what is claims to do....highly recommended","Great product for the price and stands by its claim.","Great product for the price","It worked so well and have been using it for months. Highly recommended and have already bought 5 bottles of it. I would recommended this to anyone who is breast feeding and sees a decrease in milk production after few months; especially after 3 months or so. Great product for the price and stands by its claim"
"You either love it, or...","I'm a Jelly Belly junkie and keep them on hand most all the time. I've never been able to decide","Buttered Popcorn Is My Favorite","...hate it. I'm a Jelly Belly junkie and keep them on hand most all the time. I've never been able to decide if ""Buttered Popcorn"" or ""Juicy Pear"" was my most disliked flavor. To me, it's one of those flavors that just doesn't even sound like it would be good.<br /><br />I keep a large jar of beans on my desk at work, and you wouldn't believe how often the topic of ""favorite flavors"" gets started by someone saying ""I HATE the Buttered Popcorn!""  One day, a co-worker walked in and said, ""Oh wow, Buttered Popcorn is my favorite!"" Subsequently, I was surprised to discover that this flavor has an almost cult-like following. I guess it just reaffirms the diverse nature of individuality. As the old saying goes, ""one man's junk is another man's treasure."""
"Real Food","I'm a big fan of the Frontier Soups.","Great sausage and lentil soup","I just made a big pot of this soup yesterday. I got 10 servings of more than 12 oz. each, probably because the zucchini I added were on the large side. Next time I'll use spinach or kale, instead. I used mild Italian chicken sausage from the butcher case but next time I'll try the spicier turkey Italian bulk sausage made in another store. (You'll want to remove the casings from the sausage.) Try the other varieties. Many of the soups can be cooked in a Slow Cooker (crock pot) all day long. This sausage and lentil soup cooks in such a short time, it's not worth it. All of the Frontier Soups have little to no salt and they're terrific. Their 11-Bean Minnesota Heartland Soup is to die for. <a href=""http://www.amazon.com/gp/product/B001NG72UQ"">Frontier Soups Hearty Meals Minnesota Heartland Eleven Bean Soup, 18-Ounce Bags (Pack of 4)</a> and no, I don't work for them, but I am a fan."
"Yummy little green things!","Love this stuff! Crunchy and light and best of all it's a snack thats low-carb, high protein, low-","Best edamame I've ever had!","This dry roasted roasted edamame tastes great!  Crunchy and light and best of all it's a snack thats low-carb, high protein, low-fat, and also high in fiber.  Can't get much better than that!  Love this stuff and snack on it almost daily.  Enjoy! ;)  Only negative thing I can think of is that one or two packages out the pack of twelve tasted just a bit burnt.  Not terrible, but not quite as good as the rest...."
"My Favorite of the Mocktails","The Appletini tastes better than crystal lights other mocktail mixes. It does have a slight artificial sweetener aftertaste.","The Appletini tastes better than crystal lights","The Appletini tastes better than crystal lights other mocktail mixes. It does have a slight artificial sweetener aftertaste.<br />If you have used crystal light before you should be used to that. It tasted like one of those green sour apple candies. Like a jolly rancher candy.<br />If you want a quick mixed low calorie drink this CL Mocktail will do in a pinch."
"tastes great, but will cause extreme distress...","I picked this up because I thought it had Splenda, which doesn't give me any problems. But then I found it had Malt","Great for diabetics and gastric bypass people","It bakes up and tastes just like the real thing. I picked this up because I thought it had Splenda, which doesn't give me any problems. But then I found it had Maltitol--which brings down the wrath of god on your digestive system if you dare to ingest more than the recommended amount. I recommend trying a very small piece and then waiting a few hours to see if you have adverse effects.<br /><br />So it's great for diabetics and gastric bypass people but--stick to the exact (or less) portion size recommended on the box. Not even gas-x, ginger, or tums can help you if you eat more than that. And I didn't even have it with frosting--this was one three by three inch square of plain yellow cake.<br /><br />I'll stick to making my own mixes with a combination of Splenda and stevia from now on. But if the giant, indigestible molecules of Maltitol and other sugar alcohols (do not confuse with alcohol that you drink) do not affect you in any way---rock on!"
"I must be nuts about nuts","Great Almonds and they were at a great price. When I bought them I did not know what ""Tamari"" was.","Great Almonds","These are great almonds and they were at a great price.  When I bought them I did not know what ""Tamari"" was. But the best answer is from Yahoo answers:<br />[...]<br />It really works for these Almonds.  I think you will like them if you try them. I bought 12 packs of these and I assure you that they will not go to waste, and I'm not concerned that they will go to the waist. . .<br />[...]<br />Enjoy, I give these 5 stars!"
"The worst packaging I've seen yet","This is by far the worst packaging I've seen in my life. Absolutely disappointed. I'll never buy this one again. The others aren","The worst packaging I've seen in my life","When you open the box and pull out the bag. the bag is 1/4 full of cereal and the rest is AIR. This is by far the worst packaging I've seen in my life. Absolutely disappointed. I'll never buy this one again. the others aren't this bad. Dear GOD this was the worst. the taste isn't worth the aggrevation when you open the box."
"This is AWESOME if you like to eat dry erase markers!","Don't eat this gum. It's like chewing on a green apple stick made of gasoline.","Smells like a dry erase marker","Just open the package and start huffing. The fumes alone will get you going. Seriously, these have the same acrid, chemical bite as a dry erase marker. PHEW!<br /><br />If you're brave enough (or stupid enough, after that smell) to eat a stick, get your trash can ready. This stuff is NASTY. Like seriously, seriously nasty with a hint of green apple. It's like chewing on a green apple stick made of gasoline. YUCK.<br /><br />I'm not picky about my gum, I'm really not, but I wound up spitting this out. When I dared a green-apple loving co-worker to eat one, he bit half of it off, chewed it for a few seconds, then said ""Okay, I'm done"" and spit it out.<br /><br />I suggested we keep it around for interviewees; it would be a great test of character and we could evaluate how our candidate handles the pressure of being offered a piece of gum and then discovering it was poisonous, but it didn't fly.<br /><br />Anyway, stay far, far away from this one."
"Death by cookie","I'm a huge fan of these cookies. They're so gooey and chocolatey that I can't stop eating them.","Delicious and gooey!","These cookies are really gooey and chocolaty, more scrumptious than any human being can withstand! They taste like super rich brownies with the extra quality of being gooey. At 150 calories per cookie, this bag contains enough food energy to blow most bank vault doors off their hinges, so be forewarned! Nabisco has gotten the ingredients right with this one also. As you may know from my other reviews, I am very hard on manufacturers who do not use acceptable ingredients. This has my seal of approval. So, if you are not concerned about counting calories, or if you are one of those rare individuals who actually CAN eat just one, then see if you can withstand the rapture of eating these."
"Great toddler snack-- organic, healthy, and perfectly sized.","The Plum Organics mish mash pouches are healthy, organic, contain blends of different fruits, and are perfectly sized for toddler","My little one can easily hold this pouch and feed himself!","At our home, we all LOVE our Plum Organics mish mash pouches.<br /><br />They are healthy, organic, contain blends of different fruits, and are perfectly sized for toddlers. My little one can easily hold this pouch and feed himself. I feel GREAT about having an on-the-go snack that contains 100% fruit-- NO preservatives, NO sugar, NO colors, NO artificial scary ingredients. Plum Organics even guarantees that these are made from organic, non-GMO fruit and the containers are BPA-free.<br /><br />One warning: the caps on ALL fruit pouches (no matter what brand) are small, round chocking hazards. Be SURE to take the cap off and keep it away from your little ones."
"Like living in Sao Paulo again!","Great coffee!","Best coffee in the world","Having spent 2+ years living in Brazil we got used to their excellent - low acidic - coffee.  Found this on Amazon - with free shipping (Amazon Prime - what a deal) and are again enjoying our fantastic coffee (for less per pound than most other high quality coffees).  We use it in our Espresso maker and I also buy ground (another brand since CBD does not offer gring) to use in our regular Bunn coffee maker - outstanding in all regards.  Buy it, you will be glad you did."
"Very refreshing and well-balanced taste","Great tea!","Great flavor!","I usually buy peppermint tea loose from my local Whole Foods so I haven't used herbal tea bags in a while. This product is very finely balanced to not leave any aftertaste and although I initially though it was a little weak, I've warmed to its more delicate flavor. The tea bags are individually wrapped and like most other herbal teas you can use the bags twice without any noticeable weakening of the drink. I'm looking forward to trying some of their other flavors."
"Pink's Hotdogs","I lived in the Los Angeles area for 20+ years and loved to get a dog from Pink's Hotdog Stand. I've tried ","Loved to get a dog from Pink's Hotdog Stand","I lived in the Los Angeles area for 20+ years and loved to get a dog from Pink's Hotdog Stand. I've tried a lot of dogs over the years, but could not find one with the snap that Hoffy Dogs have and once I saw them online, there was no stopping me. Great Dog."
"THE BEST stevia on the market!!!","NuNaturals has the BEST stevia on the market! I've tried many others but they don't compare, and are also","NuNaturals has the best stevia on the market!","NuNaturals has THE BEST stevia on the market! I've tried many others but they don't compare, and are also full of fillers (who needs fiber with their sweetener?? Just give me the SWEET!). The extract makes it so ""a little dab will do ya"" to satisfy any sweet tooth. And so nice to have a great-tasting, super-sweetening option that isn't a chemical!"
"Lots of Ginger","I ordered a pack of these cookies and I am glad I did. They are great tasting but there were a couple small problems: The cookies are","Great tasting cookies but a few small problems","I ordered a pack of these cookies and I am glad I did.  They are great tasting but there were a couple small problems:  The cookies are so hard and thick they are difficult to bite.  Warnings for those with weak teeth.<br /><br />The second warning is a ginger warning.  They are full of ginger and the taste may remain with you for a while.  This didn't matter to me because I love ginger.  But some people may say they have ginger burn.<br /><br />Otherwise the cookies are delicious and I ate them in three sittings."
"Not too shabby.","I love fizzy juice drinks! I got a case of the blackberry Izzes last year and was hooked!","I love fizzy juice drinks!","I love fizzy juice drinks!!!  I got a case of the blackberry Izzes last year and was hooked!  There fizzy juice drinks are bad if you like izzes you will like these, or any sparkling juice drink.  There is no added sugar which is nice.  The main downside to these drinks is the fact that although these are dubbed ""Black Cherry"", cherry and is the fourth juice listed and the flavor just isn't that strong.  I haven't tasted the other kinds yet so I can't do an analysis and tell you whether not the others are truer to the title, but if you are looking for a bold cherry taste, look elsewhere, or just buy some cherry juice.  Oh, and I've had black cherry juice and it tasted like wood chips to me, so maybe this is a good thing...  haha<br /><br />God Bless ~Amy"
"Not as bad as naysayers make them sound","Try these noodles if you like thai food and are used to the texture of rice noodles.","Not that great as an Italian pasta substitute, but if you like thai food and are used to the texture of rice noodles, for example","These are NOT replacement noodles, let me just say that first and foremost. Not that great as an Italian pasta substitute. However, if you like thai food and are used to the texture of rice noodles, for example, these won't be a disappointment. Just follow the instructions already listed here - rinse them THOROUGHLY (3-5 minutes) before you cook them. They really do absorb the flavor of whatever you cook, so if you're making a cold teriyaki sort of salad for example, leave them in the fridge overnight. I find they're better the 2nd day!"
"Dark Chocolate? Not On Your Life","Don't buy Sweetleaf.","Sweetleaf ""flavored"" products","These Sweetleaf ""flavored"" products are only for people who want something really sweet with just the very barest whiff of some flavor (you probably won't even be able to tell which one it is). If you're looking for a product that's about half sweetness and half flavor, THIS ISN'T IT. I urge you to save your money and look for another solution."
"cat loves it!","Love this product!","My cat loves this product and gives me the evil eye if he doesn't get it","My cat loves this product and gives me the evil eye if he doesn't get it. He also likes the dry Wellness grain free cat food, my previous cat developed diabetes and I switched her to food that has no grains, she lived 15 years (9 with diabetes)This is a very healthy product for cats."
"Best protein bar ever","This is the best protein bar I've ever had.","Best Protein Bars I've Ever Tasted!","These protein bars are so tasty that we have them on auto refill. This flavor does not taste at all like a ""diet"" bar or like any other ""health"" bar we've tried. My picky husband is even willing to eat these. I always keep one in my purse and we keep them in our car. When we're on the go and a ""hunger headache"" or ""hunger shakes"" come on, we reach for one of these bars and we're good to go for 3 or so more hours. We are not fond of all the flavors in this brand line, but the nut crunch line is delicious."
"Peanut Butter Mixer","This is the best unitask tool I've ever purchased!","Best Unitask tool I've ever had!","While others in my family are still a bit skeptical about this purchase, I absolutely love it! I don't usually like unitask tools - they are generally a waste. Usually you can get the same thing done without the extra clutter. But this tool sold me. If you are the one who has usually had to deal with stirring each newly opened jar of natural peanut butter, this is for you! No more mess - seriously! And it's ridiculously easy. Swap the cover for this one, slip in the stirrer, and turn a few times. That's it. Then swap the covers back. Nicely mixed peanut butter. Best purchase I've made in ages."
"Decent cup of single serve coffee","The Solofill and ekobrew coffee packs are a great option if you have a good burr grinder.","Great alternative to the Solofill and ekobrew","These individual pre-measured coffee packs work great in the Solofill and ekobrew.<br />The Grind seems perfect and brewed a decent cup of coffee in my Keurig B70 on the 8oz cup size.<br />Getting coffee with the perfect grind to work in the solofill & ekobrew is a challenge unless you have a good burr grinder so this is a really convenient alternative.<br />I'm more of a dark roast extra bold Kcup drinker and this is a much lighter roast than I prefer.<br />The Flavor I would rate as average but nothing special.<br />reminded my of the average ground coffee you find on grocery store shelfs.<br />Amazon had it priced really low so I gave it a try and it serves its purpoes well at that price point."
"Warning: Plastic shard in Exp Date 2011Jan06E Ginger Cookies with Sliced Almonds","One of my family just found a piece of plastic in one of the cookies. It measures about a half inch long, and an eight inch wide","One of my family just found a piece of plastic in one of these cookies. It measures about a half inch long, and an eight inch wide","<span class=""tiny""> Length:: 0:08 Mins<br /><br /></span>One of my family just found a piece of plastic in one of the cookies. It measures about a half inch long, and an eight inch wide, and is thin. It is stiff, and has sharp corners. Fortunately the person didn't get hurt.<br /><br />We love these cookies and have eaten at least dozens if not hundreds this year. This is the first time we have found something in one of these cookies. The cookie came from a package of Ginger Cookies with Sliced Almonds just delivered this week, with the Expiration Date of 2011Jan06E.<br /><br />Update: no more shards since then, so boosted the rating on the product. Company never responded to email to corporate, however.<br /><br />Also, Amazon price is climbing, cancelled the subscription as local price is good enough."
"Delicious tea","Great tea!","Great tea!","This tea came highly recommended from various friends, but I could never find it at the store.  What I liked about it is that it is not too sweet or overly aromatic while still being very flavorful. I sent a few boxes to my dad, a tea snob, and he can't get enough!"
"Great as a marinade!","I'm Celiac, so finding a teriyaki that's tasty and doesn't make me react is not an easy","Best teriyaki I've ever had","We marinade our steaks in this, and everyone RAVES and wants the recipe. ;-)  I'm Celiac, so finding a teriyaki that's tasty and doesn't make me react is not an easy task. We highly recommend this product.  :-)<br /><br />PS<br />This product we buy one at a time and it's not the $122 range posted here at Amazon. We don't buy it in bulk. We pay about $4 for a bottle max."
"Best Mocha Protein Drink","Great taste and so perfectly light. A hint of coffee and chocolate makes this light protein drink great any time of the day. I drink one everyday, either","Great taste and perfect light protein drink","Orgain's Iced Cafe Mocha is the best. Great taste and so perfectly light. A hint of coffee and chocolate makes this light protein drink great any time of the day. I drink one everyday, either before heading out in the morning to the aerobics class or as a healthy snack in the evening. I have been drinking the Orgain Mocha for years, purchasing them at local stores. July 2012 I ordered a 12 pack from Amazon. It was very easy to order with Amazon, and I was pleasantly surprized when the delivery date was sooner than expected."
